cell	x	y	z	host
1033	1035.000000	676.500000	125.000000	1
1041	1065.000000	20.500000	125.000000	1
1049	1065.000000	348.500000	125.000000	1
1057	1065.000000	676.500000	125.000000	1
1065	1095.000000	20.500000	125.000000	1
1073	1095.000000	348.500000	125.000000	1
1081	1095.000000	676.500000	125.000000	1
1089	1125.000000	20.500000	125.000000	1
1097	1125.000000	348.500000	125.000000	1
1105	1125.000000	676.500000	125.000000	1
1113	1155.000000	20.500000	125.000000	1
1121	1155.000000	348.500000	125.000000	1
1129	1155.000000	676.500000	125.000000	1
1137	1185.000000	20.500000	125.000000	1
1145	1185.000000	348.500000	125.000000	1
1153	1185.000000	676.500000	125.000000	1
1161	1215.000000	20.500000	125.000000	1
1169	1215.000000	348.500000	125.000000	1
1177	1215.000000	676.500000	125.000000	1
1185	1245.000000	20.500000	125.000000	1
1193	1245.000000	348.500000	125.000000	1
1201	1245.000000	676.500000	125.000000	1
1209	1275.000000	20.500000	125.000000	1
1217	1275.000000	348.500000	125.000000	1
1225	1275.000000	676.500000	125.000000	1
1233	1305.000000	20.500000	125.000000	1
1241	1305.000000	348.500000	125.000000	1
1249	1305.000000	676.500000	125.000000	1
1257	1335.000000	20.500000	125.000000	1
1265	1335.000000	348.500000	125.000000	1
1273	1335.000000	676.500000	125.000000	1
1281	1365.000000	20.500000	125.000000	1
1289	1365.000000	348.500000	125.000000	1
1297	1365.000000	676.500000	125.000000	1
1305	1395.000000	20.500000	125.000000	1
1313	1395.000000	348.500000	125.000000	1
1321	1395.000000	676.500000	125.000000	1
1329	1425.000000	20.500000	125.000000	1
1337	1425.000000	348.500000	125.000000	1
1345	1425.000000	676.500000	125.000000	1
1353	1455.000000	20.500000	125.000000	1
1361	1455.000000	348.500000	125.000000	1
1369	1455.000000	676.500000	125.000000	1
1377	1485.000000	20.500000	125.000000	1
1385	1485.000000	348.500000	125.000000	1
1393	1485.000000	676.500000	125.000000	1
1401	1515.000000	20.500000	125.000000	1
1409	1515.000000	348.500000	125.000000	1
1417	1515.000000	676.500000	125.000000	1
1425	1545.000000	20.500000	125.000000	1
1433	1545.000000	348.500000	125.000000	1
1441	1545.000000	676.500000	125.000000	1
1449	1575.000000	20.500000	125.000000	1
1457	1575.000000	348.500000	125.000000	1
1465	1575.000000	676.500000	125.000000	1
1473	1605.000000	20.500000	125.000000	1
1481	1605.000000	348.500000	125.000000	1
1489	1605.000000	676.500000	125.000000	1
1497	1635.000000	20.500000	125.000000	1
1505	1635.000000	348.500000	125.000000	1
1513	1635.000000	676.500000	125.000000	1
1521	1665.000000	20.500000	125.000000	1
1529	1665.000000	348.500000	125.000000	1
1537	1665.000000	676.500000	125.000000	1
1545	1695.000000	20.500000	125.000000	1
1553	1695.000000	348.500000	125.000000	1
1561	1695.000000	676.500000	125.000000	1
1569	1725.000000	20.500000	125.000000	1
1577	1725.000000	348.500000	125.000000	1
1585	1725.000000	676.500000	125.000000	1
1593	1755.000000	20.500000	125.000000	1
1601	1755.000000	348.500000	125.000000	1
1609	1755.000000	676.500000	125.000000	1
1617	1785.000000	20.500000	125.000000	1
1625	1785.000000	348.500000	125.000000	1
1633	1785.000000	676.500000	125.000000	1
1641	1815.000000	20.500000	125.000000	1
1649	1815.000000	348.500000	125.000000	1
1657	1815.000000	676.500000	125.000000	1
1665	1845.000000	20.500000	125.000000	1
1673	1845.000000	348.500000	125.000000	1
1681	1845.000000	676.500000	125.000000	1
1689	1875.000000	20.500000	125.000000	1
1697	1875.000000	348.500000	125.000000	1
1705	1875.000000	676.500000	125.000000	1
1713	1905.000000	20.500000	125.000000	1
1721	1905.000000	348.500000	125.000000	1
1729	1905.000000	676.500000	125.000000	1
1737	1935.000000	20.500000	125.000000	1
1745	1935.000000	348.500000	125.000000	1
1753	1935.000000	676.500000	125.000000	1
1761	1965.000000	20.500000	125.000000	1
1769	1965.000000	348.500000	125.000000	1
1777	1965.000000	676.500000	125.000000	1
1785	1995.000000	20.500000	125.000000	1
1793	1995.000000	348.500000	125.000000	1
1801	1995.000000	676.500000	125.000000	1
1809	2025.000000	20.500000	125.000000	1
1817	2025.000000	348.500000	125.000000	1
1825	2025.000000	676.500000	125.000000	1
1833	2055.000000	20.500000	125.000000	1
1841	2055.000000	348.500000	125.000000	1
1849	2055.000000	676.500000	125.000000	1
1857	2085.000000	20.500000	125.000000	1
1865	2085.000000	348.500000	125.000000	1
1873	2085.000000	676.500000	125.000000	1
1881	2115.000000	20.500000	125.000000	1
1889	2115.000000	348.500000	125.000000	1
1897	2115.000000	676.500000	125.000000	1
1905	2145.000000	20.500000	125.000000	1
1913	2145.000000	348.500000	125.000000	1
1921	2145.000000	676.500000	125.000000	1
1929	2175.000000	20.500000	125.000000	1
1937	2175.000000	348.500000	125.000000	1
1945	2175.000000	676.500000	125.000000	1
1953	2205.000000	20.500000	125.000000	1
1961	2205.000000	348.500000	125.000000	1
1969	2205.000000	676.500000	125.000000	1
1977	2235.000000	20.500000	125.000000	1
1985	2235.000000	348.500000	125.000000	1
1993	2235.000000	676.500000	125.000000	1
2001	2265.000000	20.500000	125.000000	1
2009	2265.000000	348.500000	125.000000	1
2017	2265.000000	676.500000	125.000000	1
2025	2295.000000	20.500000	125.000000	1
2033	2295.000000	348.500000	125.000000	1
2041	2295.000000	676.500000	125.000000	1
2049	2325.000000	20.500000	125.000000	1
2057	2325.000000	348.500000	125.000000	1
2065	2325.000000	676.500000	125.000000	1
2073	2355.000000	20.500000	125.000000	1
2081	2355.000000	348.500000	125.000000	1
2089	2355.000000	676.500000	125.000000	1
2097	2385.000000	20.500000	125.000000	1
2105	2385.000000	348.500000	125.000000	1
2113	2385.000000	676.500000	125.000000	1
2121	2415.000000	20.500000	125.000000	1
2129	2415.000000	348.500000	125.000000	1
2137	2415.000000	676.500000	125.000000	1
2145	2445.000000	20.500000	125.000000	1
2153	2445.000000	348.500000	125.000000	1
2161	2445.000000	676.500000	125.000000	1
2169	2475.000000	20.500000	125.000000	1
2177	2475.000000	348.500000	125.000000	1
2185	2475.000000	676.500000	125.000000	1
2193	2505.000000	20.500000	125.000000	1
2201	2505.000000	348.500000	125.000000	1
2209	2505.000000	676.500000	125.000000	1
2217	2535.000000	20.500000	125.000000	1
2225	2535.000000	348.500000	125.000000	1
2233	2535.000000	676.500000	125.000000	1
2241	2565.000000	20.500000	125.000000	1
2249	2565.000000	348.500000	125.000000	1
2257	2565.000000	676.500000	125.000000	1
2265	2595.000000	20.500000	125.000000	1
2273	2595.000000	348.500000	125.000000	1
2281	2595.000000	676.500000	125.000000	1
2289	2625.000000	20.500000	125.000000	1
2297	2625.000000	348.500000	125.000000	1
2305	2625.000000	676.500000	125.000000	1
2313	2655.000000	20.500000	125.000000	1
2321	2655.000000	348.500000	125.000000	1
2329	2655.000000	676.500000	125.000000	1
2337	2685.000000	20.500000	125.000000	1
2345	2685.000000	348.500000	125.000000	1
2353	2685.000000	676.500000	125.000000	1
2361	2715.000000	20.500000	125.000000	1
2369	2715.000000	348.500000	125.000000	1
2377	2715.000000	676.500000	125.000000	1
2385	2745.000000	20.500000	125.000000	1
2393	2745.000000	348.500000	125.000000	1
2401	2745.000000	676.500000	125.000000	1
2409	2775.000000	20.500000	125.000000	1
2417	2775.000000	348.500000	125.000000	1
2425	2775.000000	676.500000	125.000000	1
2433	2805.000000	20.500000	125.000000	1
2441	2805.000000	348.500000	125.000000	1
2449	2805.000000	676.500000	125.000000	1
